id,shape,stated_label,stated_cwe,reasoning_verdict,notes
1,shape3,safe,,,
2,shape1_sft,?,CWE-89,,
3,shape1_fixjs,?,CWE-89,,
4,shape1_r2vul_valtest,safe,,,
5,shape1_wave3_jsts,?,CWE-22,,
6,shape2,?,,,
7,shape1_sft,safe,,,
8,shape1_ts,?,CWE-400,,
9,shape1_r2vul_valtest,?,CWE-863,,
10,shape1_cvefixes,?,CWE-284,,
11,shape1_r2vul_ml,safe,,,
12,shape1_wave3_other,?,CWE-94,,
13,shape3,?,CWE-78,,
14,shape1_r2vul_ml,safe,,,
15,shape1_ts,?,CWE-200,,
16,shape1_verified,?,CWE-798,,
17,shape1_verified,?,CWE-284,,
18,shape1,safe,,,
19,shape3_codeql,?,CWE-22,,
20,shape1_r2vul_ml,safe,,,
21,shape3_codeql,?,CWE-312,,
22,shape3_codeql,?,CWE-327,,
23,shape1_wave3_jsts,safe,,,
24,shape3_codeql,?,CWE-117,,
25,shape1,?,CWE-863,,
26,shape1_sft,safe,,,
27,shape1_r2vul_ml,safe,,,
28,shape1_cvefixes,?,CWE-327,,
29,shape3_codeql,?,CWE-601,,
30,shape1_fixjs,?,CWE-79,,
31,shape3_codeql,?,CWE-79,,
32,shape1,safe,,,
33,shape1,?,CWE-23,,
34,shape1_react,?,CWE-1321,,
35,shape1_wave3_other,?,CWE-287,,
36,shape1_sft,?,CWE-89,,
37,shape3_codeql,?,CWE-22,,
38,shape1_verified,?,CWE-918,,
39,shape1_ts,?,CWE-200,,
40,shape3_codeql,?,CWE-117,,
41,shape1,safe,,,
42,shape2,?,,,
43,shape3_codeql,?,CWE-918,,
44,shape1_wave3_jsts,safe,,,
45,shape1_verified,?,CWE-78,,
46,shape1_react,?,CWE-1138,,
47,shape1_cvefixes,safe,,,
48,shape3_codeql,?,CWE-250,,
49,shape1_wave3_other,?,CWE-284,,
50,shape1_cvefixes,safe,,,
51,shape4,?,CWE-1333,,
52,shape1_r2vul_ml,?,CWE-120,,
53,shape4,?,CWE-74,,
54,shape1_wave3_jsts,?,CWE-79,,
55,shape1_wave3_other,safe,,,
56,shape3_codeql,?,CWE-79,,
57,shape1_verified,?,CWE-1321,,
58,shape1_r2vul_valtest,?,CWE-415,,
59,shape1_r2vul_ml,safe,,,
60,shape1,?,CWE-409,,
61,shape3_codeql,?,CWE-22,,
62,shape1_fixjs,?,CWE-79,,
63,shape1,?,CWE-328,,
64,shape1_wave3_jsts,?,CWE-79,,
65,shape1_r2vul_ml,?,CWE-617,,
66,shape1_r2vul_ml,safe,,,
67,shape1,safe,,,
